documento,candidatoId,resultado,tiempo_ms
138051216,2,0,41,68
770248712,0,0,50,18
871794398,1,0,46,81
131418134,2,0,46,69
779979707,0,0,52,35
843480378,1,0,52,22
133176027,2,0,48,83
199629182,0,0,49,86
854454655,1,0,47,86
373316552,2,0,42,59
938036437,0,0,43,28
151323798,1,0,36,97
783623276,2,0,39,04
211907433,0,0,80,26
108179761,1,0,39,69
250531399,2,0,50,57
323597104,0,0,53,86
472757853,1,0,32,46
283945464,2,0,44,86
140471930,0,0,42,65
659275988,1,0,53,69
152012908,2,0,41,46
186381837,0,0,50,01
875577067,1,0,45,96
955796012,2,0,51,59
892756446,0,0,51,07
129086075,1,0,40,94
724082581,2,0,47,49
963264056,0,0,49,21
214602199,1,0,50,15
226423058,2,0,48,69
870835676,0,0,44,08
955242341,1,0,39,82
409762866,2,0,47,03
984150781,0,0,40,70
103959726,1,0,44,20
413380670,2,0,43,35
590576075,0,0,44,26
679627807,1,0,42,69
627316611,2,0,43,59
152243698,0,0,50,18
826214431,1,0,44,66
494310365,2,0,47,72
308912036,0,0,42,66
996369234,1,0,47,23
641644170,2,0,44,50
974815341,0,0,42,36
540798961,1,0,42,89
996192734,2,0,40,02
541816597,0,0,41,35
505881103,1,0,39,71
443769687,2,0,44,48
405518321,0,0,57,66
268563296,1,0,31,83
455286411,2,0,44,86
595880284,0,0,54,23
864241131,1,0,45,24
967061723,2,0,41,59
204631843,0,0,85,54
167385809,1,0,50,70
416952802,2,0,51,14
589730954,0,0,55,58
728473657,1,0,46,15
489085077,2,0,48,29
457511565,0,0,48,29
314943930,1,0,61,60
880770776,2,0,47,68
752409604,0,0,50,64
596231156,1,0,43,15
657060677,2,0,49,81
131094842,0,0,47,30
908464463,1,0,38,99
306280846,2,0,42,07
167365536,0,0,47,10
166048692,1,0,46,51
305134422,2,0,51,73
355934429,0,0,42,10
713787693,1,0,43,66
714668631,2,0,55,43
458814622,0,0,46,24
453145272,1,0,42,45
307477424,2,0,45,11
237972803,0,0,49,69
135816343,1,0,41,40
963079427,2,0,37,76
473075672,0,0,41,66
547397430,1,0,50,74
780126385,2,0,41,25
14112028,0,0,51,80
752399147,1,0,51,50
96761609,2,0,46,61
928089304,0,0,60,48
314883166,1,0,59,28
282864352,2,0,41,09
936806903,0,0,39,17
909876127,1,0,47,96
613518326,2,0,36,65
395121476,0,0,49,67
879501820,1,0,51,55
881325584,2,0,58,50
460463011,0,0,37,82
561717238,1,0,47,13
402583500,2,0,46,16
621033345,0,0,70,42
576671992,1,0,30,63
529669881,2,0,40,59
45871919,0,0,53,44
114954782,1,0,46,34
421016324,2,0,51,70
383433625,0,0,49,78
757476620,1,0,47,24
511081511,2,0,52,42
508095639,0,0,39,29
524040559,1,0,54,49
251524105,2,0,44,62
237745643,0,0,39,49
640053699,1,0,51,28
412205931,2,0,42,32
613076641,0,0,54,03
226539472,1,0,49,59
842163532,2,0,68,77
222084547,0,0,42,88
948968139,1,0,46,51
771757901,2,0,38,85
486063518,0,0,62,93
551855290,1,0,47,40
382245890,2,0,43,05
526273964,0,0,45,61
203683788,1,0,48,36
128705822,2,0,42,07
441010422,0,0,54,30
428093773,1,0,45,63
668770667,2,0,49,04
818265763,0,0,46,89
908609824,1,0,37,62
934638450,2,0,47,68
199551671,0,0,34,29
985004262,1,0,47,12
268852804,2,0,43,06
938515733,0,0,48,05
29474594,1,0,50,60
417217246,2,0,39,35
612502308,0,0,48,24
549518366,1,0,43,55
724343125,2,0,38,92
646058724,0,0,47,81
471896152,1,0,43,01
524570714,2,0,66,73
624529198,0,0,45,39
759158544,1,0,44,79
806923808,2,0,43,84
196432827,0,0,40,36
349175278,1,0,60,56
496444256,2,0,29,61
503786955,0,0,42,49
979776903,1,0,43,86
190393137,2,0,44,67
943028842,0,0,47,31
593569169,1,0,52,89
719958183,2,0,53,13
611143560,0,0,44,90
937796168,1,0,41,94
280390486,2,0,39,73
960505134,0,0,42,36
543045879,1,0,48,77
540991655,2,0,42,91
810585204,0,0,40,25
914683034,1,0,47,02
657980214,2,0,43,80
994342319,0,0,53,52
830147321,1,0,37,70
283875243,2,0,47,31
814386010,0,0,49,99
865482041,1,0,48,90
513493572,2,0,42,87
819030399,0,0,51,30
127348491,1,0,43,42
634758422,2,0,48,75
262737722,0,0,54,44
72798396,1,0,42,66
239064330,2,0,41,08
148817083,0,0,60,53
894863084,1,0,58,81
747786491,2,0,46,48
777356942,0,0,44,25
578945739,1,0,48,02
479171670,2,0,43,60
391474538,0,0,46,14
638222128,1,0,41,35
299325285,2,0,42,42
976277865,0,0,45,97
746307541,1,0,46,28
479094972,2,0,76,35
830075447,0,0,23,98
488889622,1,0,39,27
919511692,2,0,44,86
43917373,0,0,43,36
445743961,1,0,42,31
852011660,2,0,52,09
172694890,0,0,53,30
212852563,1,0,34,54
355725006,2,0,52,21
197618708,0,0,44,99
684090135,1,0,37,68
286784996,2,0,42,97
440463413,0,0,40,76
360018898,1,0,37,48
115710994,2,0,39,64
350508222,0,0,45,27
119474765,1,0,46,39
166361807,2,0,49,72
632867362,0,0,53,07
849731076,1,0,45,20
910803716,2,0,43,36
786043592,0,0,41,75
27748305,1,0,42,51
806917796,2,0,39,89
600655461,0,0,55,96
764417926,1,0,42,13
556469123,2,0,44,13
162665311,0,0,53,79
941010327,1,0,43,77
832661873,2,0,42,94
760110664,0,0,39,59
10034696,1,0,39,68
848278441,2,0,43,05
658068676,0,0,40,41
964153307,1,0,39,41
203053480,2,0,38,49
829016123,0,0,44,83
605245038,1,0,48,18
128099760,2,0,42,25
908780628,0,0,47,04
313864156,1,0,40,69
137634071,2,0,42,17
724698071,0,0,39,68
856893364,1,0,52,63
60574992,2,0,38,17
596843051,0,0,47,46
929067848,1,0,62,60
94010836,2,0,81,28
172384941,0,0,38,84
908135343,1,0,46,13
710912048,2,0,48,31
513895886,0,0,50,25
975166622,1,0,47,01
937994282,2,0,39,39
509312322,0,0,42,29
748441237,1,0,47,39
739636548,2,0,42,83
947361314,0,0,47,64
145716831,1,0,43,46
353605565,2,0,42,91
680907465,0,0,49,22
679434262,1,0,41,96
21731210,2,0,48,88
587191359,0,0,40,34
990143855,1,0,43,62
498837115,2,0,47,79
926468283,0,0,45,45
668584449,1,0,38,64
740932489,2,0,38,87
940949366,0,0,47,02
902009245,1,0,44,67
675865863,2,0,51,58
963459696,0,0,40,41
651624187,1,0,47,57
605884157,2,0,46,23
501195188,0,0,42,94
243466489,1,0,46,67
445421685,2,0,43,32
159494888,0,0,50,81
323338549,1,0,43,87
896204735,2,0,46,48
943876059,0,0,55,05
739545858,1,0,44,88
52770095,2,0,41,17
804183493,0,0,37,83
645555945,1,0,47,36
717589749,2,0,46,78
238276482,0,0,41,80
313014781,1,0,39,54
520603018,2,0,42,30
154000063,0,0,53,69
956204073,1,0,44,10
505232017,2,0,43,59
518985011,0,0,76,60
523914184,1,0,40,14
273984979,2,0,42,85
192801886,0,0,44,79
726971293,1,0,44,62
809337835,2,0,38,49
868396589,0,0,48,38
798535344,1,0,47,25
905937558,2,0,40,22
830122843,0,0,50,14
33444477,1,0,44,92
660592514,2,0,44,02
795248206,0,0,53,28
681702676,1,0,41,06
26057998,2,0,43,92
171631015,0,0,39,43
230716028,1,0,52,21
311014188,2,0,39,50
387133786,0,0,44,33
700437869,1,0,46,42
398936950,2,0,39,14
504874509,0,0,42,52
272962308,1,0,51,40
262520116,2,0,38,64
126995208,0,0,46,78
88316296,1,0,47,01
221468377,2,0,41,52
903575915,0,0,44,99
43202537,1,0,47,40
551828601,2,0,47,28
450068256,0,0,44,30
178010259,1,0,45,25
939725586,2,0,36,01
935300563,0,0,46,72
562367583,1,0,76,34
674125618,2,0,28,91
983452302,0,0,54,78
234559159,1,0,40,23
360876001,2,0,52,32
429064627,0,0,48,25
331449371,1,0,51,19
989819299,2,0,42,76
638074243,0,0,43,69
457019848,1,0,59,03
90579358,2,0,81,04
246189171,0,0,47,68
570517476,1,0,46,36
437685926,2,0,45,34
44302750,0,0,43,10
379832179,1,0,46,45
119053731,2,0,48,30
95562999,0,0,49,93
81400844,1,0,44,11
672753488,2,0,38,94
899404038,0,0,46,62
138489885,1,0,41,31
459189999,2,0,44,27
373813681,0,0,42,69
848343427,1,0,39,76
746199449,2,0,53,34
779770064,0,0,42,82
94853782,1,0,65,95
278197529,2,0,39,73
626700360,0,0,44,25
914605960,1,0,56,00
229409866,2,0,54,23
62662949,0,0,46,97
173309910,1,0,40,55
359423915,2,0,51,53
838059693,0,0,47,65
568426642,1,0,43,38
127921520,2,0,43,14
205053824,0,0,48,81
271548388,1,0,46,02
214654475,2,0,47,27
270010803,0,0,44,88
534753117,1,0,43,07
171453882,2,0,46,18
738704693,0,0,39,83
490368688,1,0,43,78
354181882,2,0,50,57
976388206,0,0,46,81
241010786,1,0,41,28
441867677,2,0,42,16
995889512,0,0,43,77
581274469,1,0,40,01
23770486,2,0,49,17
481379802,0,0,45,53
69605883,1,0,61,17
662068534,2,0,41,51
476571776,0,0,53,09
441522526,1,0,46,84
314859572,2,0,45,18
406904938,0,0,40,61
901860656,1,0,40,96
840829839,2,0,45,98
25038593,0,0,36,28
713206838,1,0,44,12
449403417,2,0,46,82
870944518,0,0,46,43
949662472,1,0,41,42
576142442,2,0,64,28
780970151,0,0,44,00
605885544,1,0,50,04
801979419,2,0,48,47
312182429,0,0,39,97
17084491,1,0,64,10
651851430,2,0,43,82
545726274,0,0,39,81
595148972,1,0,49,61
758901118,2,0,45,66
520266552,0,0,43,43
87388026,1,0,45,19
136013740,2,0,43,22
261406812,0,0,47,21
355482709,1,0,39,83
386101605,2,0,39,26
890305384,0,0,46,10
139337654,1,0,43,27
106495230,2,0,41,13
417067768,0,0,51,52
501955690,1,0,42,45
609084933,2,0,46,02
466501075,0,0,69,25
518555088,1,0,33,01
225591187,2,0,39,25
958684111,0,0,38,79
678672724,1,0,42,43
37040526,2,0,41,16
684614861,0,0,50,98
172587030,1,0,39,82
965259834,2,0,67,14
937726546,0,0,39,43
349875098,1,0,48,30
476700967,2,0,44,06
475964659,0,0,44,58
287395702,1,0,42,71
328755540,2,0,40,08
48897961,0,0,48,20
973732112,1,0,42,00
509625457,2,0,52,39
172420264,0,0,43,65
286340528,1,0,41,92
736738788,2,0,44,09
676535486,0,0,48,17
126374541,1,0,36,74
354783457,2,0,44,75
544349355,0,0,41,00
651195614,1,0,46,35
531516410,2,0,39,01
840658125,0,0,47,54
359578424,1,0,49,70
39634497,2,0,44,22
12239952,0,0,47,54
562183982,1,0,44,59
803165867,2,0,43,22
132412495,0,0,61,26
221048034,1,0,51,16
309527372,2,0,40,67
259987289,0,0,42,26
392934365,1,0,66,22
113878620,2,0,26,15
764266201,0,0,46,18
935154921,1,0,44,67
140044929,2,0,44,03
837971258,0,0,43,67
669165682,1,0,46,22
960457515,2,0,59,11
163666250,0,0,42,56
409918975,1,0,44,59
847739249,2,0,42,52
295800261,0,0,40,32
378762284,1,0,44,27
998202784,2,0,45,42
941311417,0,0,42,74
899236469,1,0,45,63
99861684,2,0,70,06
566217054,0,0,48,64
551939661,1,0,42,63
603419586,2,0,42,31
599740054,0,0,44,17
138486976,1,0,44,24
14002397,2,0,49,93
280958324,0,0,46,06
719883564,1,0,53,31
166827018,2,0,47,84
927012887,0,0,35,14
692395410,1,0,246,45
256473327,2,0,299,86
335877037,0,0,48,83
400808054,1,0,40,07
596957794,2,0,43,84
71036110,0,0,43,03
897691362,1,0,48,32
555733424,2,0,43,00
335966358,0,0,46,73
626056449,1,0,47,94
562690740,2,0,40,48
436135645,0,0,44,38
565168422,1,0,41,28
144024281,2,0,44,06
771851235,0,0,42,24
172732325,1,0,39,86
690345091,2,0,43,77
11879030,0,0,38,89
471415557,1,0,31,55
629249833,2,0,46,14
203140355,0,0,49,58
688082025,1,0,43,83
222635395,2,0,43,72
724170759,0,0,42,75
207823744,1,0,44,54
852667297,2,0,42,35
246748076,0,0,75,34
567450860,1,0,44,03
768791315,2,0,41,24
408501034,0,0,41,17
975845023,1,0,24,19
865651214,2,0,64,72
303862146,0,0,45,67
311353304,1,0,34,67
710557589,2,0,49,21
855787008,0,0,44,85
450579889,1,0,43,66
147103531,2,0,45,55
890435659,0,0,52,87
617892381,1,0,49,71
563074853,2,0,44,17
547366621,0,0,42,80
363189321,1,0,57,00
123032494,2,0,46,92
443498385,0,0,40,09
32186843,1,0,49,55
323224657,2,0,46,67
702117932,0,0,46,11
378631634,1,0,43,32
71973546,2,0,39,89
191064824,0,0,46,46
404981525,1,0,54,93
520419213,2,0,44,39
263619252,0,0,44,35
328791243,1,0,43,19
269656355,2,0,68,67
900170099,0,0,52,81
260581651,1,0,36,98
812514944,2,0,44,04
933926465,0,0,47,93
99533781,1,0,37,25
873780811,2,0,44,02
256759524,0,0,51,65
581808225,1,0,55,82
528385727,2,0,46,38
930435791,0,0,43,30
658057270,1,0,40,31
643872371,2,0,46,56
428928649,0,0,38,65
225521060,1,0,24,93
723996127,2,0,50,39
622500581,0,0,40,39
12834932,1,0,43,81
606567231,2,0,45,22
572309689,0,0,42,09
399410600,1,0,99,21
774977181,2,0,32,97
130679396,0,0,48,95
813111614,1,0,41,34
253625283,2,0,40,71
556459096,0,0,37,25
586140209,1,0,43,74
600943053,2,0,46,34
583115782,0,0,40,19
119830911,1,0,46,75
203331766,2,0,62,77
954372331,0,0,45,51
488571895,1,0,47,84
149676520,2,0,49,41
229653719,0,0,42,50
55647909,1,0,43,14
896432072,2,0,47,05
375322466,0,0,47,29
864188939,1,0,37,82
952880226,2,0,44,40
30534183,0,0,43,94
843461843,1,0,44,05
139615354,2,0,45,48
329958346,0,0,41,88
187981479,1,0,47,06
191146677,2,0,51,43
724727367,0,0,42,81
852808508,1,0,43,79
774349120,2,0,51,59
317500738,0,0,43,05
187443016,1,0,44,09
207693048,2,0,39,02
431366944,0,0,43,58
121087201,1,0,38,80
16473694,2,0,39,92
335617123,0,0,41,24
370586678,1,0,41,80
915045090,2,0,47,24
882495098,0,0,52,02
179363815,1,0,40,00
142522781,2,0,47,15
131655265,0,0,58,32
412952489,1,0,52,94
259319733,2,0,42,46
346935296,0,0,40,23
559503859,1,0,59,45
619855139,2,0,43,59
613212144,0,0,45,74
785131747,1,0,44,69
287805047,2,0,40,38
916504128,0,0,50,08
614107833,1,0,40,73
448366500,2,0,37,13
389906130,0,0,42,04
520793853,1,0,41,79
385275201,2,0,39,29
623567280,0,0,43,27
753549315,1,0,48,18
549159825,2,0,43,20
900595752,0,0,43,00
934949939,1,0,40,59
503423974,2,0,29,51
893936480,0,0,46,21
541655641,1,0,42,14
726594624,2,0,38,71
971660289,0,0,48,31
604432314,1,0,41,45
115185771,2,0,41,98
810188090,0,0,47,58
676708676,1,0,45,77
87597199,2,0,41,69
731484480,0,0,43,34
515324870,1,0,44,38
450724065,2,0,44,47
673778374,0,0,39,92
591709647,1,0,41,32
88542585,2,0,47,04
238220997,0,0,52,37
83022451,1,0,41,19
703598412,2,0,46,51
368662294,0,0,41,19
364400726,1,0,45,96
356816486,2,0,44,17
444012621,0,0,48,60
122019178,1,0,40,53
353162532,2,0,49,28
292374449,0,0,46,16
162639568,1,0,39,21
167666624,2,0,44,28
25850419,0,0,42,88
533665636,1,0,27,60
169931518,2,0,71,24
436239729,0,0,53,11
397241683,1,0,49,15
506625414,2,0,46,87
883764605,0,0,40,39
564202896,1,0,44,55
185277740,2,0,44,75
759257941,0,0,38,91
566310433,1,0,56,52
636262827,2,0,41,60
421281473,0,0,54,06
214515404,1,0,35,33
286937497,2,0,55,80
409793719,0,0,37,99
810272188,1,0,46,34
85587652,2,0,40,99
724945777,0,0,53,64
